barcode	uuid	participant_code	sample_type_code	center_id	platform_id	platform_name	cna_value_id	chromosome	chr_start	chr_stop	num_mark	seg_mean
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	358	15	20232614	22122442	990	0.0257
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	359	15	22125850	22269689	82	0.4296
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	360	15	22276386	22324752	24	0.6957
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	361	15	22329509	28370728	3715	0.0072
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	362	15	28377089	28583081	56	-0.3329
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	363	15	28595234	30419013	1113	-0.0051
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	364	15	30435450	30436024	2	-1.9601
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	365	15	30442663	54576939	15451	-0.0012
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	366	15	54577995	54588269	25	-0.6867
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	367	15	54588915	90546457	23249	0.0011
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	368	15	90546897	90546934	2	-2.0522
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	369	15	90546947	96794980	4994	-0.0035
TCGA-FZ-5921-11A-01D-1608-01	f6d9b97c-7e7b-4e9c-9150-0da4b5d068ad	5921	11	1	1	Genome_Wide_SNP_6	370	15	96797839	96800081	2	-1.7707
