bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11D	2.00	19.95	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11R	1.71	14.74	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SD-10A	TCGA-A1-A0SD-10A-01D	1.95	21.34	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11D	2.00	40.28	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11R	1.98	34.35	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03D	1.97	18.25	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11D	2.05	41.65	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11R	1.96	46.57	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SH-10A	TCGA-A1-A0SH-10A-03D	1.97	7.01	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11D	1.91	18.37	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11R	1.83	9.35	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SJ-10A	TCGA-A1-A0SJ-10A-02D	1.80	10.08	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12D	1.95	52.30	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12R	1.88	20.62	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03D	2.01	8.52	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11D	1.88	61.59	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11R	1.92	62.44	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02D	2.00	12.32	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22D	1.98	63.33	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22R	2.00	50.02	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03D	2.00	12.02	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11D	1.85	29.88	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11R	1.87	8.40	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02D	1.88	13.91	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11D	1.95	41.81	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11R	1.90	22.33	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04N-10A	TCGA-A2-A04N-10A-01D	2.00	27.06	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31D	2.03	66.09	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31R	1.91	72.66	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01D	1.83	24.55	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21D	1.88	74.86	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21R	1.81	43.04	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01D	1.71	24.95	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41D	2.18	52.84	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41R	1.73	26.36	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04R-10B	TCGA-A2-A04R-10B-01D	1.81	24.27	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21D	1.92	91.20	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-21R	1.87	73.33	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04T-10A	TCGA-A2-A04T-10A-01D	1.80	23.59	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-11D	1.98	58.86	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-11R	1.82	22.59	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04U-10A	TCGA-A2-A04U-10A-01D	1.86	25.37	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21D	1.74	59.34	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-21R	1.69	25.75	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04V-10A	TCGA-A2-A04V-10A-01D	1.76	25.95	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-31D	2.03	22.75	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-31R	1.85	23.52	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04W-10A	TCGA-A2-A04W-10A-01D	1.93	27.18	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21D	1.95	92.82	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04X-01A	TCGA-A2-A04X-01A-21R	1.86	84.13	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04X-10A	TCGA-A2-A04X-10A-01D	1.79	24.26	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21D	2.08	39.32	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-21R	1.91	35.62	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A04Y-10A	TCGA-A2-A04Y-10A-01D	1.65	27.11	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-11D	1.82	57.97	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-11R	1.80	22.65	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CL-10A	TCGA-A2-A0CL-10A-01D	1.85	24.67	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31D	1.89	68.20	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-31R	1.87	54.18	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CM-10A	TCGA-A2-A0CM-10A-01D	2.03	25.12	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11D	1.90	20.42	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-11R	1.73	15.99	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CP-10A	TCGA-A2-A0CP-10A-01D	1.85	27.91	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21D	1.88	51.86	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CQ-01A	TCGA-A2-A0CQ-01A-21R	1.74	31.32	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CQ-10A	TCGA-A2-A0CQ-10A-01D	1.85	26.50	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CS-01A	TCGA-A2-A0CS-01A-11D	2.00	13.10	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CS-01A	TCGA-A2-A0CS-01A-11R	1.90	12.67	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CS-10A	TCGA-A2-A0CS-10A-01D	1.97	21.80	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31D	2.16	28.34	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CT-01A	TCGA-A2-A0CT-01A-31R	1.78	9.36	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CT-10A	TCGA-A2-A0CT-10A-01D	1.97	20.55	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12D	1.82	28.04	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CU-01A	TCGA-A2-A0CU-01A-12R	1.76	19.30	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
