1	LOC100288778
1	WASH7P
2	FAM138F
2	FAM138A
3	OR4F5
16	LOC100132062
16	LOC100133331
16	LOC100132287
18	OR4F16
18	OR4F3
18	OR4F29
31	OR4F16
31	OR4F3
31	OR4F29
33	LOC100133331
35	LOC100288069
36	LOC100288069
38	NCRNA00115
38	LOC643837
39	LOC643837
40	FAM41C
41	FAM41C
43	FLJ39609
43	SAMD11
44	NOC2L
44	SAMD11
45	KLHL17
45	PLEKHN1
45	NOC2L
46	PLEKHN1
46	C1orf170
47	HES4
47	ISG15
48	AGRN
49	AGRN
50	AGRN
51	C1orf159
52	C1orf159
53	C1orf159
55	TTLL10
55	MIR200A
55	MIR429
55	MIR200B
56	TTLL10
57	TTLL10
57	TNFRSF18
57	TNFRSF4
58	B3GALT6
58	SDF4
59	FAM132A
59	B3GALT6
59	UBE2J2
60	UBE2J2
61	SCNN1D
61	ACAP3
62	CPSF3L
62	ACAP3
62	PUSL1
63	CPSF3L
63	TAS1R3
63	GLTPD1
64	MXRA8
64	DVL1
65	MXRA8
65	AURKAIP1
66	CCNL2
66	AURKAIP1
67	CCNL2
67	LOC148413
67	MRPL20
68	TMEM88B
68	LOC441869
69	VWA1
69	ATAD3C
70	ATAD3B
70	ATAD3C
71	ATAD3B
72	ATAD3B
72	ATAD3A
73	ATAD3A
74	SSU72
74	C1orf70
75	SSU72
76	SSU72
78	MMP23A
78	MMP23B
78	MIB2
79	CDK11B
80	CDK11B
80	SLC35E2B
81	CDK11B
81	SLC35E2B
82	MMP23A
82	CDK11A
82	CDK11B
83	CDK11A
83	SLC35E2
83	CDK11B
84	SLC35E2
84	NADK
85	NADK
86	GNB1
86	NADK
87	GNB1
88	GNB1
89	GNB1
90	GNB1
91	GNB1
92	CALML6
92	TMEM52
93	TMEM52
94	KIAA1751
95	KIAA1751
96	KIAA1751
97	KIAA1751
98	GABRD
99	PRKCZ
100	PRKCZ
101	PRKCZ
102	PRKCZ
103	PRKCZ
104	PRKCZ
105	PRKCZ
106	C1orf86
106	LOC100128003
106	PRKCZ
107	C1orf86
108	SKI
109	SKI
110	SKI
111	SKI
112	SKI
113	MORN1
114	LOC100129534
114	MORN1
115	MORN1
116	RER1
116	MORN1
117	RER1
117	PEX10
120	PLCH2
121	PLCH2
122	PLCH2
122	PANK4
123	HES5
123	PANK4
124	TNFRSF14
124	LOC115110
125	LOC100133445
125	TNFRSF14
126	MMEL1
126	C1orf93
127	MMEL1
128	MMEL1
147	ACTRT2
149	FLJ42875
149	PRDM16
150	PRDM16
151	PRDM16
152	MIR4251
152	PRDM16
153	PRDM16
154	PRDM16
155	PRDM16
156	PRDM16
157	PRDM16
158	PRDM16
159	PRDM16
160	PRDM16
161	PRDM16
162	PRDM16
163	PRDM16
164	PRDM16
165	PRDM16
166	PRDM16
167	PRDM16
168	PRDM16
169	ARHGEF16
170	ARHGEF16
170	MEGF6
171	MEGF6
172	MEGF6
173	MEGF6
174	MIR551A
174	MEGF6
175	MEGF6
